State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
Minnesota,10,517,68,0.415,0.315,0.07
Minnesota,10,632,66,0.353,0.267,0.11
Minnesota,10,537,61,0.435,0.345,0.07
Minnesota,10,426,59,0.343,0.257,0.11
Minnesota,10,625,56,0.445,0.375,0.06
Minnesota,10,510,54,0.425,0.365,0.07
Minnesota,10,579,52,0.373,0.267,0.09
Minnesota,10,625,51,0.4595,0.3905,0.06
Minnesota,10,488,51,0.5015,0.4585,0.07
Minnesota,10,551,47,0.425,0.355,0.07
Minnesota,10,906,46,0.4355,0.4245,0.04
Minnesota,10,547,46,0.373,0.277,0.09
Minnesota,10,497,44,0.4915,0.4685,0.04
Minnesota,10,578,39,0.383,0.277,0.08
